text,label
"High-dose (200 cGy) exposure to either high-LET 56 Fe ions or low-LET protons caused significant loss of cancellous bone volume/total volume in mice, while lower doses (5, 10, 50 cGy) did not produce this effect.",1
"Marrow-derived cells from irradiated mice formed mineralized nodules ex vivo regardless of radiation type or dose, but 200 cGy 56 Fe exposure inhibited osteoblastogenesis by over 90% at both 5 weeks and 1 year post-irradiation.",0
"Marrow-derived cells from irradiated mice formed mineralized nodules ex vivo regardless of radiation type or dose, but 200 cGy 56 Fe exposure inhibited osteoblastogenesis by over 90% at both 5 weeks and 1 year post-irradiation.",0
"Gene expression analysis showed minimal changes after 5 weeks of irradiation with protons or 56 Fe, except for increased Catalase and Gadd45 expression following 200 cGy 56 Fe exposure.",0
"Exogenous superoxide dismutase (SOD) protected marrow-derived osteoprogenitors from damage caused by low-LET 137 Cs γ radiation in vitro, but provided limited protection against high-LET 56 Fe radiation.",0
"Exogenous superoxide dismutase (SOD) protected marrow-derived osteoprogenitors from damage caused by low-LET 137 Cs γ radiation in vitro, but provided limited protection against high-LET 56 Fe radiation.",0
"Doses below 50 cGy did not induce significant changes in bone microarchitecture, osteoblastogenesis, or redox-related gene expression.",1
"The study concludes that high-LET 56 Fe radiation at 200 cGy impairs osteoblastogenesis and modulates expression of select redox-related genes, potentially contributing to persistent bone loss after space-like radiation exposure.",0
"The study concludes that high-LET 56 Fe radiation at 200 cGy impairs osteoblastogenesis and modulates expression of select redox-related genes, potentially contributing to persistent bone loss after space-like radiation exposure.",0
"The study concludes that high-LET 56 Fe radiation at 200 cGy impairs osteoblastogenesis and modulates expression of select redox-related genes, potentially contributing to persistent bone loss after space-like radiation exposure.",0
NASA’s Space Biology and Human Research Program have initiated efforts to coordinate translational research to accelerate the development of countermeasures for human spaceflight health risks.,0
NASA’s Space Biology and Human Research Program have initiated efforts to coordinate translational research to accelerate the development of countermeasures for human spaceflight health risks.,0
"The study advocates for a structured translational research framework at NASA, modeled after the NIH’s approach, to enhance knowledge transfer between basic science, applied research, and medical operations.",0
"The study advocates for a structured translational research framework at NASA, modeled after the NIH’s approach, to enhance knowledge transfer between basic science, applied research, and medical operations.",0
"NASA’s Life Sciences portfolio includes three components: Space Biology (basic research), Human Research Program (applied research), and Medical Operations, with a need for improved coordination among them.",0
"A two-phased translational research path is proposed: Phase 1 focuses on translating basic research findings into applied countermeasures, and Phase 2 emphasizes moving applied research into operational medical practices for astronauts.",0
"A two-phased translational research path is proposed: Phase 1 focuses on translating basic research findings into applied countermeasures, and Phase 2 emphasizes moving applied research into operational medical practices for astronauts.",0
"A two-phased translational research path is proposed: Phase 1 focuses on translating basic research findings into applied countermeasures, and Phase 2 emphasizes moving applied research into operational medical practices for astronauts.",0
The International Space Station’s designation as a National Laboratory facilitates the translation of space research findings to Earth-based medical applications.,0
The proposed translational research approach aims to foster multidisciplinary collaboration to more effectively address astronaut health challenges and support sustainable human space exploration missions.,0
The proposed translational research approach aims to foster multidisciplinary collaboration to more effectively address astronaut health challenges and support sustainable human space exploration missions.,0
The proposed translational research approach aims to foster multidisciplinary collaboration to more effectively address astronaut health challenges and support sustainable human space exploration missions.,0
"Developed a high-precision ex vivo cyclic compressive loading method for isolated mouse vertebral bodies with three key features: 3D-printed support jigs for machining plano-parallel surfaces, pivotable loading platens for uniform contact, and specimen-specific micro-CT-based finite element analysis to prescribe force levels producing consistent strain.",1
"Developed a high-precision ex vivo cyclic compressive loading method for isolated mouse vertebral bodies with three key features: 3D-printed support jigs for machining plano-parallel surfaces, pivotable loading platens for uniform contact, and specimen-specific micro-CT-based finite element analysis to prescribe force levels producing consistent strain.",1
"Developed a high-precision ex vivo cyclic compressive loading method for isolated mouse vertebral bodies with three key features: 3D-printed support jigs for machining plano-parallel surfaces, pivotable loading platens for uniform contact, and specimen-specific micro-CT-based finite element analysis to prescribe force levels producing consistent strain.",1
"Developed a high-precision ex vivo cyclic compressive loading method for isolated mouse vertebral bodies with three key features: 3D-printed support jigs for machining plano-parallel surfaces, pivotable loading platens for uniform contact, and specimen-specific micro-CT-based finite element analysis to prescribe force levels producing consistent strain.",1
Tested fatigue life of L5 vertebrae from C57BL/6J male mice (n = 5–6 per group) using the new method and compared it to two commonly used literature methods.,0
Tested fatigue life of L5 vertebrae from C57BL/6J male mice (n = 5–6 per group) using the new method and compared it to two commonly used literature methods.,0
"The new method significantly reduced variability in mechanical behavior; specifically, the standard deviation of fatigue life at a controlled strain level was up to five times lower than with existing methods (F-ratio = 4.9; p < 0.01).",1
"The new method significantly reduced variability in mechanical behavior; specifically, the standard deviation of fatigue life at a controlled strain level was up to five times lower than with existing methods (F-ratio = 4.9; p < 0.01).",1
"Improved precision in cyclic loading tests enhances statistical power and reliability in assessing bone quality changes due to aging, disease, or treatment in small-animal models.",0
"Improved precision in cyclic loading tests enhances statistical power and reliability in assessing bone quality changes due to aging, disease, or treatment in small-animal models.",0
"Monotonic compressive strength of mouse vertebrae significantly decreased by 50% at 17,000 Gy and by 73% at 35,000 Gy compared to controls (p < 0.001), with no significant changes at 50 Gy and 1,000 Gy.",1
"Monotonic compressive strength of mouse vertebrae significantly decreased by 50% at 17,000 Gy and by 73% at 35,000 Gy compared to controls (p < 0.001), with no significant changes at 50 Gy and 1,000 Gy.",1
"Monotonic compressive strength of mouse vertebrae significantly decreased by 50% at 17,000 Gy and by 73% at 35,000 Gy compared to controls (p < 0.001), with no significant changes at 50 Gy and 1,000 Gy.",1
"Monotonic compressive strength of mouse vertebrae significantly decreased by 50% at 17,000 Gy and by 73% at 35,000 Gy compared to controls (p < 0.001), with no significant changes at 50 Gy and 1,000 Gy.",1
"Collagen fragmentation was observed only at the highest radiation doses (17,000 and 35,000 Gy), correlating with the reductions in mechanical strength.",0
"Collagen fragmentation was observed only at the highest radiation doses (17,000 and 35,000 Gy), correlating with the reductions in mechanical strength.",0
"Non-enzymatic collagen crosslinking increased significantly at all radiation doses (50, 1,000, 17,000, and 35,000 Gy) compared to controls (p < 0.001), but did not correspond to changes in mechanical properties.",1
"Non-enzymatic collagen crosslinking increased significantly at all radiation doses (50, 1,000, 17,000, and 35,000 Gy) compared to controls (p < 0.001), but did not correspond to changes in mechanical properties.",1
Both monotonic and cyclic compressive loading tests showed consistent trends in mechanical property changes and collagen alterations across radiation doses.,1
"The study suggests that collagen fragmentation, rather than increased non-enzymatic crosslinking, is primarily responsible for radiation-induced reductions in bone mechanical integrity.",0
"Cyclic passive stretch of C2C12 myotubes induced a significant increase in phosphorylated p70S6 kinase (P-p70S6K), while phosphorylation of FAK and ERK2 decreased; Akt and ERK1 phosphorylation were unresponsive to stretch.",1
"Cyclic passive stretch of C2C12 myotubes induced a significant increase in phosphorylated p70S6 kinase (P-p70S6K), while phosphorylation of FAK and ERK2 decreased; Akt and ERK1 phosphorylation were unresponsive to stretch.",1
"Cyclic passive stretch of C2C12 myotubes induced a significant increase in phosphorylated p70S6 kinase (P-p70S6K), while phosphorylation of FAK and ERK2 decreased; Akt and ERK1 phosphorylation were unresponsive to stretch.",1
"Cyclic passive stretch of C2C12 myotubes induced a significant increase in phosphorylated p70S6 kinase (P-p70S6K), while phosphorylation of FAK and ERK2 decreased; Akt and ERK1 phosphorylation were unresponsive to stretch.",1
"Cyclic passive stretch of C2C12 myotubes induced a significant increase in phosphorylated p70S6 kinase (P-p70S6K), while phosphorylation of FAK and ERK2 decreased; Akt and ERK1 phosphorylation were unresponsive to stretch.",1
"Primary muscle cultures from wild-type (C57) mice showed similar but non-significant trends in p70S6K phosphorylation upon stretch, whereas γ-sarcoglycan-null (γ-SG -/-) cultures exhibited no p70S6K response.",1
"Primary muscle cultures from wild-type (C57) mice showed similar but non-significant trends in p70S6K phosphorylation upon stretch, whereas γ-sarcoglycan-null (γ-SG -/-) cultures exhibited no p70S6K response.",1
"Isolated muscles from γ-SG -/- mice displayed elevated basal p70S6K activation independent of calcium, and stretch-induced p70S6K activation was sustained over time, contrasting with the transient activation observed in wild-type muscles.",0
"Isolated muscles from γ-SG -/- mice displayed elevated basal p70S6K activation independent of calcium, and stretch-induced p70S6K activation was sustained over time, contrasting with the transient activation observed in wild-type muscles.",0
"Isolated muscles from γ-SG -/- mice displayed elevated basal p70S6K activation independent of calcium, and stretch-induced p70S6K activation was sustained over time, contrasting with the transient activation observed in wild-type muscles.",0
"Rapamycin treatment fully inhibited stretch-induced p70S6K activation and downstream S6 ribosomal protein (S6RP) phosphorylation in wild-type muscles, but in γ-SG -/- muscles, rapamycin reduced p70S6K activation without decreasing elevated S6RP phosphorylation.",0
"Rapamycin treatment fully inhibited stretch-induced p70S6K activation and downstream S6 ribosomal protein (S6RP) phosphorylation in wild-type muscles, but in γ-SG -/- muscles, rapamycin reduced p70S6K activation without decreasing elevated S6RP phosphorylation.",0
"Rapamycin treatment fully inhibited stretch-induced p70S6K activation and downstream S6 ribosomal protein (S6RP) phosphorylation in wild-type muscles, but in γ-SG -/- muscles, rapamycin reduced p70S6K activation without decreasing elevated S6RP phosphorylation.",0
"Rapamycin treatment fully inhibited stretch-induced p70S6K activation and downstream S6 ribosomal protein (S6RP) phosphorylation in wild-type muscles, but in γ-SG -/- muscles, rapamycin reduced p70S6K activation without decreasing elevated S6RP phosphorylation.",0
These findings indicate that γ-sarcoglycan is critical for normal mechanotransduction involving p70S6K in skeletal muscle and suggest that its absence leads to dysregulated load-sensing signaling pathways associated with muscular dystrophy.,0
These findings indicate that γ-sarcoglycan is critical for normal mechanotransduction involving p70S6K in skeletal muscle and suggest that its absence leads to dysregulated load-sensing signaling pathways associated with muscular dystrophy.,0
Single mutants of AtRabD2b or AtRabD2c in Arabidopsis thaliana show no significant morphological differences compared to wild-type plants under various growth conditions.,1
The AtRabD2b/2c double mutant exhibits normal vegetative growth but produces shorter siliques than wild-type plants.,0
The AtRabD2b/2c double mutant exhibits normal vegetative growth but produces shorter siliques than wild-type plants.,0
"Pollen from the AtRabD2b/2c double mutant is deformed, displaying swollen and branched pollen tube tips, which correlates with reduced silique length.",0
"Pollen from the AtRabD2b/2c double mutant is deformed, displaying swollen and branched pollen tube tips, which correlates with reduced silique length.",0
"Pollen from the AtRabD2b/2c double mutant is deformed, displaying swollen and branched pollen tube tips, which correlates with reduced silique length.",0
"AtRabD2b and AtRabD2c have distinct but overlapping expression patterns, with both genes highly expressed in pollen.",0
"AtRabD2b and AtRabD2c have distinct but overlapping expression patterns, with both genes highly expressed in pollen.",0
"Both AtRabD2b and AtRabD2c proteins localize to Golgi bodies, implicating their role in vesicle trafficking.",0
"Both AtRabD2b and AtRabD2c proteins localize to Golgi bodies, implicating their role in vesicle trafficking.",0
"The study concludes that AtRabD2b and AtRabD2c have partially redundant functions essential for vesicle trafficking during pollen tube growth, functions not compensated by other AtRabD family members.",0
"The study concludes that AtRabD2b and AtRabD2c have partially redundant functions essential for vesicle trafficking during pollen tube growth, functions not compensated by other AtRabD family members.",0
TNO1 was identified as a novel protein interacting with the TGN-localized SNARE protein SYP41 in Arabidopsis and localizes to the trans-Golgi network (TGN).,0
TNO1 was identified as a novel protein interacting with the TGN-localized SNARE protein SYP41 in Arabidopsis and localizes to the trans-Golgi network (TGN).,0
"The tno1 mutant exhibited increased sensitivity to salt stress (NaCl, KCl, LiCl) and osmotic stress induced by mannitol, indicating a role for TNO1 in stress tolerance.",0
"The tno1 mutant exhibited increased sensitivity to salt stress (NaCl, KCl, LiCl) and osmotic stress induced by mannitol, indicating a role for TNO1 in stress tolerance.",0
"In the tno1 mutant, the localization of SYP61, a protein involved in salt stress response, was disrupted, suggesting TNO1 influences SYP61 positioning.",0
"Vacuolar proteins were partially misdirected to the apoplast in the tno1 mutant, demonstrating impaired vacuolar protein trafficking.",0
"The tno1 mutant showed delayed formation of brefeldin A (BFA) compartments, indicating less efficient membrane fusion at the TGN.",0
"The tno1 mutant showed delayed formation of brefeldin A (BFA) compartments, indicating less efficient membrane fusion at the TGN.",0
"Unlike other TGN proteins, TNO1 did not relocate to the BFA compartment upon BFA treatment, suggesting a unique role in maintaining TGN structure or identity.",0
"Unlike other TGN proteins, TNO1 did not relocate to the BFA compartment upon BFA treatment, suggesting a unique role in maintaining TGN structure or identity.",0
"The novel Arabidopsis thaliana protein AtGTLP was identified based on its interaction with the trans-Golgi network-localized Qa-SNARE, SYNTAXIN OF PLANTS 43, and its amino acid sequence similarity to metazoan fucosyltransferases.",0
"The novel Arabidopsis thaliana protein AtGTLP was identified based on its interaction with the trans-Golgi network-localized Qa-SNARE, SYNTAXIN OF PLANTS 43, and its amino acid sequence similarity to metazoan fucosyltransferases.",0
"AtGTLP is a membrane-anchored protein with a type II-like topology, featuring a single transmembrane helix and a C-terminal globular domain.",0
"Subcellular localization studies indicate that AtGTLP predominantly localizes to the Golgi apparatus, particularly to specific regions of the trans-Golgi.",0
"Single atgtlp−/− knockout mutants did not show significant differences in primary root length or fresh mass compared to wild type, suggesting possible functional redundancy with related proteins.",1
"Single atgtlp−/− knockout mutants did not show significant differences in primary root length or fresh mass compared to wild type, suggesting possible functional redundancy with related proteins.",1
"AtGTLP represents a putative member of a previously uncharacterized family of Arabidopsis fucosyltransferases, distinct from known Arabidopsis fucosyltransferases based on sequence analysis.",0
Arabidopsis thaliana tno1 knockout mutants exhibit enhanced root skewing and increased epidermal cell file rotation compared to wild-type plants.,0
Arabidopsis thaliana tno1 knockout mutants exhibit enhanced root skewing and increased epidermal cell file rotation compared to wild-type plants.,0
Root skewing in tno1 mutants is further increased by microtubule stabilization but remains unaffected by microtubule destabilization treatments.,0
Root skewing in tno1 mutants is further increased by microtubule stabilization but remains unaffected by microtubule destabilization treatments.,0
"Microtubule destabilization causes severe defects in cell morphology in tno1 seedlings, indicating a role for TNO1 in maintaining cell structure under these conditions.",0
"The orientation of microtubule arrays in tno1 mutant roots is similar to wild-type, suggesting that increased cell file rotation occurs independently of microtubule array orientation.",0
"The orientation of microtubule arrays in tno1 mutant roots is similar to wild-type, suggesting that increased cell file rotation occurs independently of microtubule array orientation.",0
"TNO1 is necessary for maintaining cell morphology in mature root regions and at the base of hypocotyls, implicating its role in cell expansion during root growth.",0
"The study suggests that TNO1, a trans-Golgi network-localized SNARE-interacting protein, modulates root skewing through a microtubule-dependent mechanism without altering microtubule array orientation.",0
"The tno1 mutant exhibits delayed lateral root emergence and reduced gravitropic bending in roots, indicating impaired root development and response to gravity.",0
"The tno1 mutant exhibits delayed lateral root emergence and reduced gravitropic bending in roots, indicating impaired root development and response to gravity.",0
"Mutant roots show increased sensitivity to both the synthetic auxin analog 2,4-dichlorophenoxyacetic acid and the natural auxin 3-indoleacetic acid.",0
"Mutant roots show increased sensitivity to both the synthetic auxin analog 2,4-dichlorophenoxyacetic acid and the natural auxin 3-indoleacetic acid.",0
"Auxin asymmetry at the tips of elongating stage II lateral roots is diminished in the tno1 mutant, suggesting disrupted cellular auxin transport during lateral root emergence.",0
"During gravistimulation, auxin transport from the columella to basal epidermal cells is delayed in tno1 roots, implicating TNO1 in auxin redistribution under gravity stimulus.",0
"Endocytosis to the trans-Golgi network (TGN) remains unaffected in the tno1 mutant, indicating that bulk endocytic trafficking defects do not underlie the observed phenotypes.",0
"Endocytosis to the trans-Golgi network (TGN) remains unaffected in the tno1 mutant, indicating that bulk endocytic trafficking defects do not underlie the observed phenotypes.",0
"The findings support a role for the TGN-localized protein TNO1 in mediating auxin-dependent processes during root development and gravitropic responses, potentially through trafficking of auxin transport proteins.",0
"The findings support a role for the TGN-localized protein TNO1 in mediating auxin-dependent processes during root development and gravitropic responses, potentially through trafficking of auxin transport proteins.",0
"Spag4, a Drosophila SUN protein ortholog, is specifically expressed in the testis and localizes dynamically to germline nuclei, concentrating at the spermatid centriole attachment site.",0
"Spag4, a Drosophila SUN protein ortholog, is specifically expressed in the testis and localizes dynamically to germline nuclei, concentrating at the spermatid centriole attachment site.",0
"Spag4, a Drosophila SUN protein ortholog, is specifically expressed in the testis and localizes dynamically to germline nuclei, concentrating at the spermatid centriole attachment site.",0
"Loss of Spag4 results in dissociation of nuclei and centrioles/basal bodies after meiosis, indicating its essential role in maintaining centriole-nuclear attachment during spermatogenesis.",0
"Loss of Spag4 results in dissociation of nuclei and centrioles/basal bodies after meiosis, indicating its essential role in maintaining centriole-nuclear attachment during spermatogenesis.",0
"The centriole attachment function of Spag4 operates independently of the two known Drosophila KASH proteins, Klarsicht and MSP-300.",0
"The coiled-coil protein Yuri Gagarin colocalizes with Spag4 at the nuclear surface and is required for centriole attachment, acting downstream of Spag4.",0
"The coiled-coil protein Yuri Gagarin colocalizes with Spag4 at the nuclear surface and is required for centriole attachment, acting downstream of Spag4.",0
"The coiled-coil protein Yuri Gagarin colocalizes with Spag4 at the nuclear surface and is required for centriole attachment, acting downstream of Spag4.",0
Epistasis analysis shows that Yuri and the dynein-dynactin motor complex function downstream of Spag4 in the pathway maintaining centriole-nuclear association.,0
